content,content_stem,score,target
"Been using Shopee for years, my only platform for online purchases. Recently, I can't receive my daily Shopee coins and rating Shopee coins for weeks. Sent a message to explain my problems and explain to them I am disappointed. They only reply 'sorry for the inconveniences caused' without solving my issues. Totally give up on this platform. Lastly I would also like to tell you once, DO NOT BE ARROGANT! GOOD-BYE!","using  years,  platform  online  purchases.  recently,  can't  receive  daily  coins  rating  coins  weeks.  sent  message  explain  problems  explain  disappointed.  reply  'sorry  inconveniences  caused'  without  solving  issues.  totally  give  platform.  lastly  would  also  like  tell  once,  arrogant!  good-bye!",1,1
I am having alot of problem using the Shopee app these few days..frustrating can't even go to my cart..kindly see to the issue,alot  problem  using  days..frustrating  can't  even  go  cart..kindly  see  issue,1,1
"Initial difficulty in accessing app. No reply to my case escalation but when I tried again a week later, it worked. Would have appreciated update from their customer service.","initial  difficulty  accessing  app.  reply  case  escalation  tried  week  later,  worked.  would  appreciated  update  customer  service.",3,1
Everything's good except the vouchers are hidden everywhere and some disappears when you are going to use it even when you supposedly claimed it. It was way before the expiry time.,everything's  good  except  vouchers  hidden  everywhere  disappears  going  use  even  supposedly  claimed  it.  way  expiry  time.,4,0
Not sure why the shopee catch does not work well on my xiaomi redmi 6A. The game runs but no bowl appears. Previously it works till I updated the phone to miui 11.0.4. Please look into it. Thanks.,sure  catch  work  well  xiaomi  redmi  6a.  game  runs  bowl  appears.  previously  works  till  updated  phone  miui  11.0.4.  please  look  it.  thanks.,3,1
Great shopping experience,great  shopping  experience,5,0
"Shipping is quite fast usually, but when I cancel an order, I dont get my shopee coins that I used refunded! I am very upset about this.","shipping  quite  fast  usually,  cancel  order,  dont  get  coins  used  refunded!  upset  this.",4,0
Very slow..take a long time to get in.. So irritated..but useful..,slow..take  long  time  get  in..  irritated..but  useful..,1,1
Good and bad. Good is things posted in Shopee have more choices and some not found at other website. Bad is some item are not authenic especially electronic products. Have to be careful and read more review to be sure about the authenticity. Responsible admin too. Like a lot about the refund part. Save time to ship back by request partial refund. Must make sure to show proof.,good  bad.  good  things  posted  choices  found  website.  authenic  especially  electronic  products.  careful  read  review  sure  authenticity.  responsible  admin  too.  like  lot  refund  part.  save  time  ship  back  request  partial  refund.  must  make  sure  show  proof.,5,0
Good customer service,good  customer  service,3,1
"Last time, I can't use the voucher and after update... It got worse! It just showed 'NETWORK ERROR '! Hello! I can still use my WhatsApp, shopping within shopee, and type one star review to you shopee! But whenever I want to use the voucher, the app showed me network error?! Is this your best strategy!?","last  time,  can't  use  voucher  update...  got  worse!  showed  'network  error  '!  hello!  still  use  whatsapp,  shopping  within  shopee,  type  one  star  review  shopee!  whenever  want  use  voucher,  showed  network  error?!  best  strategy!?",1,1
"it is absolutely annoying. what is wrong with the app?? been quite a while since i can't access to my cart, use/claim vouchers, my coins, etc. i can't even navigate smoothly. it always pops up saying ""an error has occurred or something is wrong"" message. did shopee not pay your app developer fees or what?????","absolutely  annoying.  wrong  app??  quite  since  can't  access  cart,  use/claim  vouchers,  coins,  etc.  can't  even  navigate  smoothly.  always  pops  saying  ""an  error  occurred  something  wrong""  message.  pay  developer  fees  what?????",1,1
Good shopping app with lots of good deals. Still have some fraudulent sellers - my mum bought a toy but got scotch tape instead... Hope Shopee helps to resolve,good  shopping  lots  good  deals.  still  fraudulent  -  mum  bought  toy  got  scotch  tape  instead...  hope  helps  resolve,4,0
Shopping in this platform is most pleasant and fulfilling compared to others. The simple usage of each function is easily understood. It also has a very wide range of sellers with competative prices. Refunds or cancellation are a breeze too. Will recommend others to use it.,shopping  platform  pleasant  fulfilling  compared  others.  simple  usage  function  easily  understood.  also  wide  range  competative  prices.  refunds  cancellation  breeze  too.  recommend  others  use  it.,5,0
Delivery can be improved for some vendors. Always losing smaller items,delivery  improved  vendors.  always  losing  smaller,4,0
Good,good,4,0
Hi! This is such a trustable app! I have no problems with the items i bought by sellers! If only you guys add in PAYPAL as payment too...It'll be more convenient to use without the need to spend on credit cards.,hi!  trustable  app!  problems  bought  sellers!  guys  add  paypal  payment  too...it'll  convenient  use  without  need  spend  credit  cards.,5,0
"Well shopee is now forcing to use shopee pay for discount and i'm not very happy with that. And without the discount voucher, the prices are not any more interesting.","well  forcing  use  pay  discount  i'm  happy  that.  without  discount  voucher,  prices  interesting.",3,1
"Good shopping experience. However, wish the screen text size could be bigger or at least allow user to zoom in. Many times coild not see what the promo details or instructions. Screen can get too crowded too.","good  shopping  experience.  however,  wish  screen  text  size  could  bigger  least  allow  user  zoom  in.  many  times  coild  see  promo  details  instructions.  screen  get  crowded  too.",4,0
With increased patronage the app should perform better since inception. This is not the case as there is frequent payment mode problems and unnecessary charges applied to inconvenience the customer to follow app facilitator's mood. Customer service must be on par with product excellence. Look no further than Amazon to model after.,increased  patronage  perform  better  since  inception.  case  frequent  payment  mode  problems  unnecessary  charges  applied  inconvenience  customer  follow  facilitator's  mood.  customer  service  must  par  product  excellence.  look  amazon  model  after.,5,0
"Very reliable and very efficient, the platform can be trusted...Most of the products was sent earlier than expected.. Happy with all my purchases.. Thanks. Being one of the SHOPEE buyer, I can trust them with their products but, as a buyer you must be smart enough to buy. Anyway I love this platform... ❤️ There's one time that i have problem with the product that i have purchased. After complain with the seller and Shoppee, i received good service from Shoppee. Keep it up for your Good job. 👍","reliable  efficient,  platform  trusted...most  products  sent  earlier  expected..  happy  purchases..  thanks.  one  buyer,  trust  products  but,  buyer  must  smart  enough  buy.  anyway  love  platform...  red_heart  there's  one  time  problem  product  purchased.  complain  shoppee,  received  good  service  shoppee.  keep  good  job.  thumbs_up",5,0
It's really easy to use Shopee!Always check the ratings if u are gonna but it!,really  easy  use  shopee!always  check  ratings  u  gonna  it!,4,0
There is a need to speed up the delivery process. A wait between 2 weeks to 3 weeks is unacceptable. Shopee should work with the sellers to shorten the delivery process to a week. Thank you.,need  speed  delivery  process.  wait  2  weeks  3  weeks  unacceptable.  work  shorten  delivery  process  week.  thank  you.,1,1
"Quite annoying when doing product rating got hanged half way with cursor circling non stop, have to exit app & rate product all over again. This acknowledgement receipt & product rating are necessary for the money to release to seller","quite  annoying  product  rating  got  hanged  half  way  cursor  circling  non  stop,  exit  &  rate  product  again.  acknowledgement  receipt  &  product  rating  necessary  money  release",4,0
Awesome online shopping app where you find almost everything here 👍,awesome  online  shopping  find  almost  everything  thumbs_up,5,0
Very good to orfer parcle.,good  orfer  parcle.,5,0
Delivery always to a location away from my address!! Not happy at all. 20mins to go and collect item. Second time!!,delivery  always  location  away  address!!  happy  all.  20mins  go  collect  item.  second  time!!,1,1
Apps is easy n friendly user.,apps  easy  n  friendly  user.,4,0
Buying is ok but refund and exchange they don't do it if you can improve that things it should be ok don't like to always ask for refund but they don't do it and sometimes the seller's write something and sending is different this part is very disappointed and no helps at that point of time cause at the end of the day we are spending money so shopee must understand,buying  ok  refund  exchange  improve  things  ok  like  always  ask  refund  sometimes  seller's  write  something  sending  different  part  disappointed  helps  point  time  cause  end  day  spending  money  must  understand,2,1
Ok,ok,4,0
App very slow,slow,3,1
"I used to do online shopping mainly from Lazada and Ezbuy, but now I switched majority of the purchase to Shopee. Reason being that Shopee had more variety of same items at lower pricing and most of it is delivery free to your doorsteps. The most attractive part is as a plant enthusiasm, I can conveniently buy fresh plants from Shopee at an extremely low price, some even rare species (✿^‿^)","used  online  shopping  mainly  lazada  ezbuy,  switched  majority  purchase  shopee.  reason  variety  lower  pricing  delivery  free  doorsteps.  attractive  part  plant  enthusiasm,  conveniently  buy  fresh  plants  extremely  low  price,  even  rare  species  (✿^‿^)",5,0
Very good experience with good deals,good  experience  good  deals,4,0
Better than Lazada,better  lazada,4,0
Easy & great,easy  &  great,5,0
The app is great but i'm having issues with paying for my items. When i checkout i'll have to verify using dbs code. I'm suppose to get from my sms but it didn't show up. So i can't do any payment :/,great  i'm  issues  paying  items.  checkout  i'll  verify  using  dbs  code.  i'm  suppose  get  sms  show  up.  can't  payment  :/,4,0
App is good but lags at certain times,good  lags  certain  times,4,0
It's amazing,amazing,5,0
Can find most of the things that i wanted on shopee at a reasonable price.. Pretty happy with it :)),find  things  wanted  reasonable  price..  pretty  happy  :)),4,0
"You are an idiot if you click on the ""Order Received"" button. Never click on it. You will lose all protection. You will not be able to do any return or refund after clicking on it. Once you do, Shopee will not help you at all and just string you along with their ""help"". Yes, you are supposed to ""return"" something before you even ""receive"" it. Amazing right? Just leave the button unclicked and you'll be grateful if something goes wrong with your order.","idiot  click  ""order  received""  button.  never  click  it.  lose  protection.  able  return  refund  clicking  it.  do,  help  string  along  ""help"".  yes,  supposed  ""return""  something  even  ""receive""  it.  amazing  right?  leave  button  unclicked  grateful  something  goes  wrong  order.",1,1
Easy to search for products and competitive pricings.,easy  search  products  competitive  pricings.,5,0
"Easy to use, gets me great deals. Love the vouchers and cashback system! There was even once my item didn't arrive and the system allowed me to submit request for refund. Update: the app is getting increasingly laggy with time, hope it will be resolved!","easy  use,  gets  great  deals.  love  vouchers  cashback  system!  even  arrive  system  allowed  submit  request  refund.  update:  getting  increasingly  laggy  time,  hope  resolved!",5,0
Things are cheap but refund team doesn't want do their job. Ask customer to wait for longer time before item delivers for normal mail. Thereafter said period over cannot do anything. All their talks! And after review still keep promoting to review.,things  cheap  refund  team  want  job.  ask  customer  wait  longer  time  delivers  normal  mail.  thereafter  said  period  cannot  anything.  talks!  review  still  keep  promoting  review.,2,1
Reliable but the interface seems loaded with too much information. Need time to get use to the pages,reliable  interface  seems  loaded  much  information.  need  time  get  use  pages,4,0
Easy to navigate and shop. Great interface,easy  navigate  shop.  great  interface,5,0
Delivery quite fast 👍👍👍👍👍,delivery  quite  fast  thumbs_upthumbs_upthumbs_upthumbs_upthumbs_up,4,0
"The tracking system is becoming worse, even though the item has been shipped it doesnt update. And even when i havent received the item is says that it has been delivered.","tracking  system  becoming  worse,  even  though  shipped  doesnt  update.  even  havent  received  says  delivered.",2,1
There still some things that I wanted but cannot be found in shopee. But overall it's a good shopping app.,still  things  wanted  cannot  found  shopee.  overall  good  shopping  app.,4,0
App sometimes ok and sometimes not. No improvement.,sometimes  ok  sometimes  not.  improvement.,3,1
Delivery fast and easy to place order,delivery  fast  easy  place  order,4,0
Downloading the app was easy. Not much info and stuff to fill up. The app make cash top up and buying transaction easy. There are lots of awesome deals everyday. The prices are competitive but many are reasonable. Always looking for the best deals at the best affordable price. There are also cashback and coins to win. There are many games that I can play and at the same win coins too. The games are fun and of a few variety. The daily and weekly $1 deal is always something I will look forward to.,downloading  easy.  much  info  stuff  fill  up.  make  cash  top  buying  transaction  easy.  lots  awesome  deals  everyday.  prices  competitive  many  reasonable.  always  looking  best  deals  best  affordable  price.  also  cashback  coins  win.  many  games  play  win  coins  too.  games  fun  variety.  daily  weekly  $1  deal  always  something  look  forward  to.,5,0
"Shoppe is bloated at 80MB n is getting more cluttered. When launched, it sucks lots of bandwidth 1Mbps. Browsing products drains battery fast as the phone gets hotter by the min!! Can have Dark Mode please?","shoppe  bloated  80mb  n  getting  cluttered.  launched,  sucks  lots  bandwidth  1mbps.  browsing  products  drains  battery  fast  phone  gets  hotter  min!!  dark  mode  please?",3,1
The best!,best!,5,0
So Far so good. Items arrived intact within the expected duration. Worth the price!,far  good.  arrived  intact  within  expected  duration.  worth  price!,4,0
This app is driving me crazy...1st is the voucher session can't access with error code 404 then now is blank screen for my order session. Uninstall and reinstall - insane,driving  crazy...1st  voucher  session  can't  access  error  code  404  blank  screen  order  session.  uninstall  reinstall  -  insane,1,1
"Now you have to pay 60¢ for economy shipping?? It's okay if u are someone who buys the more expensive stuff but how abt the 10¢ deals? I tend to buy a lot of stuff during the ten cent relays, I can't possibly have to go to the shop all the time and collect the huge amount of tiny parcels (honestly would be embarrassing). Literally defeats the whole purpose. So disappointed. Won't be using the app anymore unless it's something that can only be found here.","pay  60¢  economy  shipping??  okay  u  someone  buys  expensive  stuff  abt  10¢  deals?  tend  buy  lot  stuff  ten  cent  relays,  can't  possibly  go  shop  time  collect  huge  amount  tiny  parcels  (honestly  would  embarrassing).  literally  defeats  whole  purpose.  disappointed.  using  anymore  unless  something  found  here.",1,1
Great online marketplace for buyers and sellers. Many events and the coin system is attractive. Performance can be a bit laggy especially when playing the minigames,great  online  marketplace  buyers  sellers.  many  events  coin  system  attractive.  performance  bit  laggy  especially  playing  minigames,4,0
good service,good  service,3,1
Payment have issue and the support team cannot fix till date . Been more than a week and just keep asking me for screenshots which i've provided previously. Honestly that is really lousy service since shoppe collects payment all the time. The turnaround to fix should be short. And if screenshot is provided previously u should not repeatedly ask for the same screenshots which were provided twice. The chat online support still keep asking for my email which they have in their records.,payment  issue  support  team  cannot  fix  till  date  .  week  keep  asking  screenshots  i've  provided  previously.  honestly  really  lousy  service  since  shoppe  collects  payment  time.  turnaround  fix  short.  screenshot  provided  previously  u  repeatedly  ask  screenshots  provided  twice.  chat  online  support  still  keep  asking  email  records.,1,1
"Terrible. I bought a few items on shoppee and although the product was damaged, i gave 5 stars as the shop offered to refund them but the review was reported as inappropriate so other buyers were not able to see my review. Infuriating. Edited: Improvements in shopee customer service so changed the rating to 4 stars.","terrible.  bought  although  product  damaged,  gave  5  stars  shop  offered  refund  review  reported  inappropriate  buyers  able  see  review.  infuriating.  edited:  improvements  customer  service  changed  rating  4  stars.",4,0
"Late always crash, auto close, lots of problem. Not even happen to finish selecting the stuff to buy, need to start all over again, waste time to search back again, very annoying.","late  always  crash,  auto  close,  lots  problem.  even  happen  finish  selecting  stuff  buy,  need  start  again,  waste  time  search  back  again,  annoying.",1,1
Shopee said that my number was recycling number so I can't install this app,said  number  recycling  number  can't  install,1,1
"5 of my orders cancelled cause seller didnt ship, i as a seller, delivery man doesnt show up either then we get penalty points tf, app is so lousy that even after i ship the order can get cancelled, buyer got items for free. they r focused on getting more people on the app no wonder need jackie chan, twice, itzy all those focus on fixing the app before getting more people to download even if it is bad we will still delete it... Cant believe a seller can get scammed here and Shopee is useless","5  orders  cancelled  cause  didnt  ship,  seller,  delivery  man  doesnt  show  either  get  penalty  points  tf,  lousy  even  ship  order  get  cancelled,  buyer  got  free.  r  focused  getting  people  wonder  need  jackie  chan,  twice,  itzy  focus  fixing  getting  people  download  even  still  delete  it...  cant  believe  get  scammed  useless",1,1
So far ordering within Singapore is fast and great.,far  ordering  within  singapore  fast  great.,5,0
"i have used this app for a month and i find it easy to use and shop for things but lately i have an issue, the home page can't load and it shows a grey screen the every time i use the app but the other pages were able to load and is working, i really hope you guys are able to fix the problem as i am now unable to shop due to the home page unable to load so i am not able to search for products!! plz fix this problem asap :(((","used  month  find  easy  use  shop  things  lately  issue,  home  page  can't  load  shows  grey  screen  every  time  use  pages  able  load  working,  really  hope  guys  able  fix  problem  unable  shop  due  home  page  unable  load  able  search  products!!  plz  fix  problem  asap  :(((",2,1
"The app hangs, need to close and reopen the app. The page loads very slowly. And also bad customer service. I have issue regarding my order, have send email to Shopee. But there is no reply. So live chat with the Cs officer to check my case. But the Cs officer say cannot find my case. So I have to tell the Cs officer the whole issue again. In the end, instead of solving the problem, they seem like ignore it. Till now, the problem is still not resolved.","hangs,  need  close  reopen  app.  page  loads  slowly.  also  customer  service.  issue  regarding  order,  send  email  shopee.  reply.  live  chat  cs  officer  check  case.  cs  officer  say  cannot  find  case.  tell  cs  officer  whole  issue  again.  end,  instead  solving  problem,  seem  like  ignore  it.  till  now,  problem  still  resolved.",1,1
Getting better but the app search on product needs to be improved. Often does not delivered the correct specified product.,getting  better  search  product  needs  improved.  often  delivered  correct  specified  product.,4,0
"Good products, efficient delivery and assured refund for undelivered items 👍👍","good  products,  efficient  delivery  assured  refund  undelivered  thumbs_upthumbs_up",5,0
"One of the online shopping platform that i will check 1st before purchasing anything. Over all experience is good. Some sellers are very helpful. Do note, delivery company engaged by the seller, did not make sure buyer received the item they are delivering when they reached the buyer house. My item was left outside of my house without me knowing in a few occasions.","one  online  shopping  platform  check  1st  purchasing  anything.  experience  good.  helpful.  note,  delivery  company  engaged  seller,  make  sure  buyer  received  delivering  reached  buyer  house.  left  outside  house  without  knowing  occasions.",5,0
"Friendly user apps. Just have to be careful as i do see some fakes being sold out there. Other than that, all is good. Thank you","friendly  user  apps.  careful  see  fakes  sold  there.  that,  good.  thank",4,0
Easy to use..Good products and vendors genetally..,easy  use..good  products  vendors  genetally..,5,0
Hi please the fix credit card cannot delete credit card I got error when trying to delete my credit card,hi  please  fix  credit  card  cannot  delete  credit  card  got  error  trying  delete  credit  card,3,1
"So many choices and easy to order. Prices are affordable. So far all items received in good order. Shopee well updated if any cancellation, shipped out,, etc..","many  choices  easy  order.  prices  affordable.  far  received  good  order.  well  updated  cancellation,  shipped  out,,  etc..",5,0
"Price good, delivery longer but no complaint...As this is another alternative from other apps.","price  good,  delivery  longer  complaint...as  another  alternative  apps.",4,0
Awesome....,awesome....,5,0
"After the recent updates of able to enlarge photo from selection of goods, this greatly helps user to view better of the selected item. Would like to see the product information section to have photos to compliment with text for better understanding of the product feature. Great shopping platform, Shopee 👍","recent  updates  able  enlarge  photo  selection  goods,  greatly  helps  user  view  better  selected  item.  would  like  see  product  information  section  photos  compliment  text  better  understanding  product  feature.  great  shopping  platform,  thumbs_up",5,0
"I like this app as there are various marketing tools to help sellers. The room for improvement is there are too many changes from times to times. However, it is not as smooth as expected each time a new feature is rolled out to the users. Keep up with your good work!","like  various  marketing  tools  help  sellers.  room  improvement  many  changes  times  times.  however,  smooth  expected  time  new  feature  rolled  users.  keep  good  work!",5,0
Friend refer me to online shopping which i usually dont... But Now i am countless hoe many transaction that i have been made through shopee. Quite user friendly even for begginer to explore. The attractive is at times unexpected discount that add on will make the deal even much much more good deal to close with shopee. The only concern whether credit card suffcient momey to credit off the purchased. I guess my first choice will be through shopee for my futire need of shopping as it convience. Tq,friend  refer  online  shopping  usually  dont...  countless  hoe  many  transaction  made  shopee.  quite  user  friendly  even  begginer  explore.  attractive  times  unexpected  discount  add  make  deal  even  much  much  good  deal  close  shopee.  concern  whether  credit  card  suffcient  momey  credit  purchased.  guess  first  choice  futire  need  shopping  convience.  tq,5,0
"Past 1 week I cannot add to cart and cannot reach my cart to check out too. I had spoke to someone in shopee. Not sure what updates you had made to cause this. I had uninstalled multiple times. Since my phone is brand new, I even factory reset my phone. Nothing works.","past  1  week  cannot  add  cart  cannot  reach  cart  check  too.  spoke  someone  shopee.  sure  updates  made  cause  this.  uninstalled  multiple  times.  since  phone  brand  new,  even  factory  reset  phone.  nothing  works.",2,1
"The app is really good but shipping is not that fast as Lazada's, I tried to buy something with the first purchase voucher and when i tried to confirm order there was an error, It said i couldn't use the voucher.","really  good  shipping  fast  lazada's,  tried  buy  something  first  purchase  voucher  tried  confirm  order  error,  said  use  voucher.",4,0
Good customer service . Encountered a problem which vendor issued a faulty item to me. I send them numerous emails and messages to no avail . Had no choice but to approach shopee and the customer service office after seeing my chat history and my emails and a picture of the faulty item assisted by refunding the cost of the item shopee Customer service is great,good  customer  service  .  encountered  problem  vendor  issued  faulty  me.  send  numerous  emails  messages  avail  .  choice  approach  customer  service  office  seeing  chat  history  emails  picture  faulty  assisted  refunding  cost  customer  service  great,5,0
Please DO NOT entrust a single cent to Shopee Pay. This company has serious IT issues in my opinion. The Shopee Pay app deducted money from the wallet after I've removed payment amount and 'payment failed' message. The customer service paid lip service promising refund within 4 working days after investigation that found the error. The refund never materialised and they are so incompetent as to redirect the case back into customer service mode ALL OVER again like there's no continuation!,please  entrust  single  cent  pay.  company  serious  issues  opinion.  pay  deducted  money  wallet  i've  removed  payment  amount  'payment  failed'  message.  customer  service  paid  lip  service  promising  refund  within  4  working  days  investigation  found  error.  refund  never  materialised  incompetent  redirect  case  back  customer  service  mode  like  there's  continuation!,1,1
good,good,5,0
Good app to shop,good  shop,5,0
Change the bloody ad with the awful singer with the nasally voice. Makes my ears hurt everytime I'm forced to sit through it....,change  bloody  ad  awful  singer  nasally  voice.  makes  ears  hurt  everytime  i'm  forced  sit  it....,4,0
"Good price, fast delivery","good  price,  fast  delivery",4,0
Great shopping App. Have been using this platform more regularly since the pandemic outbreak. Their follow up on refund/returns of unsatisfactory products has been exemplary... their no nonsense approach is really what consumers like me need to have full confidence in shopping online!! 👍👍👍,great  shopping  app.  using  platform  regularly  since  pandemic  outbreak.  follow  refund/returns  unsatisfactory  products  exemplary...  nonsense  approach  really  consumers  like  need  full  confidence  shopping  online!!  thumbs_upthumbs_upthumbs_up,5,0
"Their customer service is the ""stuff..nightmares are made of"" based on my experience with them. Unhelpful and their replies are like just useless info from their FAQ (which i have already read, hit a stump and had no choice but to contact them) If you are looking for an opportunity to test your patience/endurance, feel free to contact their customer service! 😀👍 5 stars as a training program for patience! 0 for a shopping platform!","customer  service  ""stuff..nightmares  made  of""  based  experience  them.  unhelpful  replies  like  useless  info  faq  (which  already  read,  hit  stump  choice  contact  them)  looking  opportunity  test  patience/endurance,  feel  free  contact  customer  service!  grinning_facethumbs_up  5  stars  training  program  patience!  0  shopping  platform!",5,0
Best platform for on line shopping,best  platform  line  shopping,5,0
"Responsive and price is quite cheap and transparent. Other online shop after clicked into the item, the price shoot up from very low price tag advertised.","responsive  price  quite  cheap  transparent.  online  shop  clicked  item,  price  shoot  low  price  tag  advertised.",4,0
"Not a new company to handle 11.11 but still make same mistake like a new company. Cannot make payment, top-up shopee pay failed provide wrong infomation.","new  company  handle  11.11  still  make  mistake  like  new  company.  cannot  make  payment,  top-up  pay  failed  provide  wrong  infomation.",1,1
"Used to be good, now a hassle to deal with if you have an issue with an item that you bought. Bought a pair of compression tights supposed to be BNIB but was opened and tried on and then just roughly folded together and put back in the original box. I'm not spending $219 on a used pair of compression tights! MOST OF THE REVIEWS ARE 1-2 LINERS AND MOST LIKELY FAKE! DON'T FALL FOR IT!","used  good,  hassle  deal  issue  bought.  bought  pair  compression  tights  supposed  bnib  opened  tried  roughly  folded  together  put  back  original  box.  i'm  spending  $219  used  pair  compression  tights!  reviews  1-2  liners  likely  fake!  fall  it!",1,1
Shopee delivery service is getting worst ever since shopee started taking the courier service for themselve. My order was scheduled for delivery by 11/11/21... deliveryman played a dirty trick by updating in the tracking record 11/11/21 09:16 [delivery attempted unsuccessful customer rescheduled] Of which it was a total lie. There wasn't any attempt and no call whstsoever the whole day. Deliveryman updated the FALSE status just to cover up their failure to meet the deadline.🤬,delivery  service  getting  worst  ever  since  started  taking  courier  service  themselve.  order  scheduled  delivery  11/11/21...  deliveryman  played  dirty  trick  updating  tracking  record  11/11/21  09:16  [delivery  attempted  unsuccessful  customer  rescheduled]  total  lie.  attempt  call  whstsoever  whole  day.  deliveryman  updated  false  status  cover  failure  meet  deadline.face_with_symbols_on_mouth,1,1
"The app system is doing good, compare to my previous comments. System Administrator, don't rock the boat ⛵. Cheers 🥂","system  good,  compare  previous  comments.  system  administrator,  rock  boat  sailboat.  cheers  clinking_glasses",5,0
"With great variety and offers to select from, great apps but the apps and words are too tiny on a smartphone, unable to zoom got difficulties to read, especially for people like me with poor eye sight. Hopefully fix it for zooming purpose for easy reading. Thank you","great  variety  offers  select  from,  great  apps  apps  words  tiny  smartphone,  unable  zoom  got  difficulties  read,  especially  people  like  poor  eye  sight.  hopefully  fix  zooming  purpose  easy  reading.  thank",1,1
Its fine. But i dont understand why the app keeps on saying i didnt update info on one of my product when everything is updated from the website. The product page reflects the brand name but it says its not updated.,fine.  dont  understand  keeps  saying  didnt  update  info  one  product  everything  updated  website.  product  page  reflects  brand  name  says  updated.,4,0
"Very convenient and reliable. However, goods in picture shown is big but actual size is smaller, so better find out the measurement before place order. Eventhough have some issues with some sellers but most of the sellers in shopee are good. I got my refund back and one of the seller also resend the missing item to me. I enjoy the free games and gain coins from the games which the coin can used to pay for item sold in Shopee. I love the discount vouchers too.","convenient  reliable.  however,  goods  picture  shown  big  actual  size  smaller,  better  find  measurement  place  order.  eventhough  issues  good.  got  refund  back  one  also  resend  missing  me.  enjoy  free  games  gain  coins  games  coin  used  pay  sold  shopee.  love  discount  vouchers  too.",5,0
The best of the best.,best  best.,5,0
Hello please make shopee bangladesh and please ship and start selling in bangladesh,hello  please  make  bangladesh  please  ship  start  selling  bangladesh,3,1
"Works on and off, I have to keep installing and uninstalling due to ""No Network Error"". It's really difficult to keep track of my shipment","works  off,  keep  installing  uninstalling  due  ""no  network  error"".  really  difficult  keep  track  shipment",2,1
Your raincoat design is good so brighter in darkness areas you can see far away.,raincoat  design  good  brighter  darkness  areas  see  far  away.,4,0
