username,content,score,thumbs_up_count,at,reply_content,replied_at,sort_order,app_id,target
A Google user,"This is the most troublesome shopping app that i ever used. it is not user friendly at all and the moment when you place an order, it create chaos by compulsorily required is to key in new number as verification (which i dont how this serve its purpose). Secondly, it doesnt show that certain item have purchase limit. it only pops up when you try to make payment.",1,6,2018-10-19 23:27:24,Hi Xiao Hen! So sorry for the unpleasant experience :( We do require a one-time verification to ensure that Shopee is a safe space for both buyers and sellers. Some of our items also have a purchase limit especially if they're on sale. But thank you for your feedback :) We will make Shopee a better place to shop for you! Do drop an email to our ...,2018-10-20 23:51:13,most_relevant,com.shopee.sg,1
Ping Rong Lim,"Never had an issue with Shopee until I attempted to use their ShopeeXpress Collection. The app failed to inform me that my package had already been delivered to the collection point for a week, and still reflected it as in delivery for a week. Not only that, after I made my way down to the collection point, the vendors at the point, though helpful, could also not diagnose the problem, leading me to waste an hour of time, thinking it was an issue on my end, when in fact it lies with Shopee.",1,7,2022-06-24 20:17:10,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-06-24 22:22:52,most_relevant,com.shopee.sg,1
Brian C,"For the past one year I would have given a 5 star. But recently, the app keeps saying that there is an error in the connection. I can't make any purchase or view the product. It is only solved when I reinstall the app. I have reinstall the app at least 5 times. It is getting very frustrating. Will probably switch to lazada. Pls do something before you lose more users.",1,128,2021-05-26 23:04:33,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2021-05-26 23:36:15,most_relevant,com.shopee.sg,1
A Google user,my first time trying to buy things on Shopee. the app is good but I can't say the same for the sellers I'm dealing with. Both times I have bad experience with 2 different sellers. First product came broken and the second one didn't ship out my item after a week despite telling me they'll ship out several times. It's the kind of quality of the sellers/products for cheap prices. Just beware!,1,5,2019-07-06 10:43:27,,,most_relevant,com.shopee.sg,1
Cora H,"Very bad system. Unable to print waybill obviously is the shopee system issue. The agent just keep asking you to check your connection,clear cache, uninstall and reinstall, logout and login. When everything are done accordingly, still cannot get track number and print waybill. They just don't want to admit is their system issue. All they ask you to do is wait and try again instead of clear solutions.",1,56,2022-01-10 13:01:20,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-01-10 13:32:49,most_relevant,com.shopee.sg,1
Hope Siow,"App is often unresponsive. The banners are moving but no matter how much I tap on the screen, I can't navigate anything. Sometimes it functions normally, but the majority of the time it's unresponsive. Super frustrating especially when I'm looking for something.",1,40,2022-05-29 15:08:35,"""Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-05-29 15:57:36,most_relevant,com.shopee.sg,1
Anzac Chew,"Very bad service experience. Had requested not to have ShopeePay as the default payment. Instead of switching it back to my credit card, they cancel my ShopeePay leaving all my vouchers unusable. Also, despite my repeated feedback over their vouchers are all over the places which makes it difficult to keep track, they simply pushed the blame back to the customer. As from the ratings from fellow users, I'm not the first to complain, but nothing is being done. I think they are too big to bother.",1,75,2021-09-26 15:56:46,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2021-09-26 16:18:58,most_relevant,com.shopee.sg,1
Sonny Wee,"I tried updating the app; update, cancel update, cancel 5 times but it just does not go beyond 94% despite waiting for as long as an hour. Tried switching on and off my Internet and close all app but to no avail. Only didn't uninstall the old app as I had many things in the cart which I do not want to reselect. It's really frustrating and time wasting.",1,3,2021-09-26 17:12:58,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2021-09-26 17:36:08,most_relevant,com.shopee.sg,1
Veron,"I have been using Shopee for a long time but recently there are a lot of issues. My hp burns when I use the app (no issues while using any other apps), I cannot view lives (the screen is just blank) and I keep encountering error messages. I uninstalled and installed the app and it would be working fine until the issues come back again in 1-2 days time. I have uninstalled and installed the app for a couple of times now and its getting on my nerves.",1,288,2022-05-26 20:43:24,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-05-26 21:12:28,most_relevant,com.shopee.sg,1
Kel K,"The app is super buggy. Takes forever and always hangs when downloading to install the latest updates. Even when you cancel the downloading, it will pop up automatically by itself to keep downloading but never does complete when you click on the app. Could the developer look into this? Thank you.",1,19,2022-12-30 14:45:42,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2022-12-30 16:37:36,most_relevant,com.shopee.sg,1
Kopicha,Both app and service gotten worst. For past months app always have this issue where those pictures of product does not load when try to open full screen. Just stuck in infinite loading loop. Only way is to close then reopen App to fix it but will return after a short while. Also the typing of review is a joke. You literally can't type more than a sentence of 20 or more words or the entire App likely will freeze. Vouchers these days are lame forcing the use of shppee pay is SHADY at best.,1,0,2023-01-09 10:44:59,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2023-01-09 13:37:41,most_relevant,com.shopee.sg,1
Kerrine Sim,"This app is going downslope. As a customer, I feels instead of being rewarded for loyalty, I am being taken for granted for using it. 1) Cashback was easier to earn before, now the voucher is rare and even if have, they decreased the max to $3. 2) Shipping was free before if we hit minimum order amount. Now It's no longer free. And the free voucher is like given only half a month once 3) Forcefully reduce further benefits unless you use their shopeepay instead of giving extra perks if u use it",1,4,2023-01-05 10:34:48,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2023-01-05 17:01:21,most_relevant,com.shopee.sg,1
Mac Chen,"Sucks services and products. Buy a few times and always disappoint me with the delivery time and product quality. The last time I though giving you another chance since the seller is local. And this is worst! Items were not deliver and change status to ""delivered"". Feedback to customer service and they are like machine, kept asking me to check. My items are alot and the box will not be small. Then after I asked for proof of delivery, they never address this request. I'm pissed.",1,3,2023-01-03 07:48:47,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-03 08:49:27,most_relevant,com.shopee.sg,1
Pauline T,"App just keeps getting worse, hangs halfway through product browsing AND product reviews. This is despite several attempts to restart the app and ensuring the app is updated. Secondly, vouchers are now applicable only to Shopee Pay, and no shipping is free even though vendors state that it is free if you meet a certain amount of purchase, and the free shipping voucher doesn't work in this case for some vague reason like it applies to an unknown selection of products.",1,4,2023-01-08 06:33:52,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-12-29 09:19:06,most_relevant,com.shopee.sg,1
Fennie,"Told by Shopee help center, i request refund on undelivered orders that's ending due to their system error, but the refund got cancelled the same day and shown as delivered the next day! This is already my 2nd order forcefully shown as delivered! Shopee no longer guarantee you receive your items or get back your refunds! Shopee credibility have gone down the drain! You've turned into a money grabbing apps!! Also Sea shipment delivery time changed from 2 month to 2 weeks?! Totally disappointed!!",1,2,2023-01-05 04:16:55,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-02 13:04:19,most_relevant,com.shopee.sg,1
Luke Neo,"Disappointed! The driver from Shopee Xpress left my order outside my house without any notification, even though I had specifically requested otherwise. Called the support but was treated with pre-written responses and a lack of genuine effort to help. In recent news, a custr bought an iPhone worth $1961 from Shopee, only to receive some junks in place of the phone. This just goes go show that the risks associated with using Shopee, particularly for high value purchases, are simply not worth it.",1,2,2023-01-10 01:59:35,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-10 09:17:22,most_relevant,com.shopee.sg,1
rong,"The app hangs, need to close and reopen the app. The page loads very slowly. And also bad customer service. I have issue regarding my order, have send email to Shopee. But there is no reply. So live chat with the Cs officer to check my case. But the Cs officer say cannot find my case. So I have to tell the Cs officer the whole issue again. In the end, instead of solving the problem, they seem like ignore it. Till now, the problem is still not resolved.",1,1,2022-12-26 08:27:55,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2022-12-26 09:08:43,most_relevant,com.shopee.sg,1
Zul,"PayNow to ShopeePay did not get credited TWICE in a week. First time it happened, support email was swift. The second time it happened, nobody responded. I'm still waiting for my money to be credited. Countless attempts to get a hold of their CS hotline but nobody bothered to pick-up the call. I am not informed that the first issue was resolved, and as to why it happened. Clearly there is a broken process of communication in their helpdesk system. TL;DR: Avoid using ShopeePay.",1,6,2022-12-31 02:13:59,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-12-31 09:09:10,most_relevant,com.shopee.sg,1
ッThisbatcantfly,I really love the app but every voucher is limited to shopee pay and we have to pay for delivery. not only buyers but sellers too. and not only that shopee takes a big cut from vendors compared to last time. I really think you guys need to cut your ad/media budget. vendors are not profiting and we are losing. fix this. go back to how it was. lastly the lag. really testing my patience,1,1,2023-01-11 17:55:23,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2023-01-11 18:35:37,most_relevant,com.shopee.sg,1
Eugene Ong,"Refund process is a nightmare. After returning a faulty product back to shopee which was worth $600 on the 16 Dec 2022, I was told the verification and refund would take 7-9 working days. It's 1 Jan 2023 and after 2 times contacting their CSA and getting the same response that will expedite the issues and get back to me in 1-3 working days, I still have not gotten anything. Really disappointed with the slow service. Won't be making anymore new purchases on this app till this matter is resolved.",1,1,2023-01-01 17:58:36,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-01 18:09:36,most_relevant,com.shopee.sg,1
KK Quah,App freeze when typing review. This problem has been persistent since last year. Though recent updates have fixed it but the problem is still there. Please help as I have not been able to upload any review to collect coins. 🙏,1,0,2023-01-13 00:47:10,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-13 09:15:23,most_relevant,com.shopee.sg,1
An T,"Suddenly unable to use vouchers. Error message claims unusual activity in account. 2023 Jan : after update, unable to add items to cart and profile page shows not logged in but actually can view my previous cart items and orders. Just unable to buy new stuff. Amazing Shopee, u just put me, a top Gold member on hold...",1,0,2023-01-12 23:56:13,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-13 09:14:18,most_relevant,com.shopee.sg,1
Lyn,"Top up my shopeepay balance using paynow. Usually very fast can see amount but surprisingly when I top up recently, the amount is not reflected. Not sure if the amount is lost in transaction. First time this has ever happened. Very risky. Apparently, wanted to buy something during sales but now can't as the team is working on it. Need it urgently, but said they need 2-3 working days to resolve?",1,22,2022-11-11 00:16:05,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-11-11 08:04:41,most_relevant,com.shopee.sg,1
Venkata Ratnam,"Refund process is complex and no proper response. Still struggling to get my money back. It's already 4th day and they keep on saying their payment team not seeing my payment. But not giving reply over email to raise the concern with my bank. My bank says the paynow transaction completed successfully, shopee says they didn't see payment. Every day, shopee consultant says they escalated and need more days.",1,1,2023-01-05 20:01:00,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2023-01-05 22:19:49,most_relevant,com.shopee.sg,1
Elfie,"Return and refunds processes is horrible. Emailed 35x and spoken to CSA at least 20x, items returned and seller received them back, till now, 12 days, still not refunded. After each call, I wld be informed will escalate the matter and need 3 wkg days. Service getting from bad to worse. Rating of products after receiving is a nightmare. App is very laggy and most of the time I have to try at least 8x over 3 days before I could submit safely. 😩 after update still crashing. Getting horrible.",1,4,2022-12-31 11:35:40,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-10-31 12:03:48,most_relevant,com.shopee.sg,1
Fang Toh,"Decent app, good deals. But as a seller, I have a lot of my photos stolen and used by other sellers without my permission. The report button is useless, I have done many times. The only way that it did work was the customer support and having to go through 3h of waiting and explanation. The 2nd and 3rd time around nothing was done even though I provided all links and photo proof. Why is it that I can have the listings that stole my photos be removed the first time but now it can't?",1,18,2022-12-02 22:37:18,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-11-17 15:09:44,most_relevant,com.shopee.sg,1
Naomi Marthenis,The app is extremely laggy and slow...really disappointed because I was trying to get items on 11.11 sale but the app lagged so much that it passed 11.59pm before I could purchase. The transaction should have been smooth and taken less than a minute was unavle to pay for 5 minutes at least. Partially my fault for buying my items so late but still disappointed with the service,1,2,2022-11-12 00:07:33,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-11-12 08:10:59,most_relevant,com.shopee.sg,1
Maggie Hee,"If your ewallet has a limit, put it there and reject if over limit top up, but instead you just take our money and put in your account but not reflecting in user's account. Kinda like stealing now. Plus, Bad customer service, call so many times no solutions and refuse to escalate higher, keep repeating as if they have text book in front off them. Incompetent. Plus, nearly 10pm every call they pick up will get cut off. I CALL TWICE, once they pick up they cut it off. Please return my money asap!",1,10,2022-12-12 21:30:45,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-12-12 22:54:17,most_relevant,com.shopee.sg,1
Adilla,"I'm one of shopee regular customer but shopee lately has been really disappointing. Shopee delivering services is very poor, shopee agent takes forever to get to back to us, vouchers/ promotions makes absolutely no senses at all and currently the app itself is very weird as it is advertising very extremely highly inappropriate products!!! What is wrong with you guys man???! I mostly browse for clothes so there shouldn't be any weird products to be recommended in the feeds!!! 😡🤬",1,5,2022-11-28 03:02:58,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-11-28 08:04:41,most_relevant,com.shopee.sg,1
clones,The app is super buggy. If I try to scroll up it will just go back to the top and I can't touch the screen for long if not it will do the same. I have tried to redownload the app but its the same Update: app now can't even use properly everything won't load,1,2,2022-11-20 14:53:29,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you",2022-10-11 08:07:10,most_relevant,com.shopee.sg,1
wh C,"Bad experience. It is not just the app but the buying experience. I ordered a water heater and it was supposed to be delivered by 28 October 2022. On the 29th October 2022, the item is still stuck at the sorting facility of Ninja Van (which is a poor logistics partner of Shopee). I tried to cancel my order but the refund will only go to Shopee Pay (not back to my credit card). Avoid buying from Shopee.",1,4,2022-10-29 08:18:34,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.
",2022-10-29 10:27:02,most_relevant,com.shopee.sg,1
John Cheong,"The vouchers and promotions never really are as they are advertised to be. It's a convoluted mess of limited issuances of discount vouchers, subject to certain caps which vastly reduces the discounts, validity limited to propriety wallet Shopee Pay which monies cannot be transferred out, validity only on certain credit cards/banks only, rebates given in the form of token coins of denominations difficult to grasp, no doubt used to obfuscate real-world value. The app is cluttered with popups too.",1,6,2022-12-08 07:12:33,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-12-08 08:39:23,most_relevant,com.shopee.sg,1
Ng EFang,"Update after 6months.. The system performance still the same..How to shop when your system so lagging?... Feedback on Feb 2022: Please improve, not able to shop using this app nowadays. At first, I thought it was a temporary technical issue, but it has been lagging for many months.. very disappointed.",1,3,2022-11-27 00:17:31,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-11-27 08:19:31,most_relevant,com.shopee.sg,1
Helene Girl,3 weeks already game on blank screen unable to play after lastest update . Even products video also cannot play . Frustrating have to kept clear data and uninstalled each time. Nothing have done to resolve the issue yet !,1,0,2022-12-24 02:07:42,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-12-05 09:12:37,most_relevant,com.shopee.sg,1
James Tan,"The app is getting bad to worse, especially shopee wallet. It's not immediately updated when you top up the wallet. A lot of rebates comes with conditions. Not many perks like before. Am gonna delete it away and change to Lazada shopping instead. Very disappointed with shopee nowadays.",1,2,2022-12-14 18:19:26,"Thank you for bringing this issue to our attention. We are sorry to hear that your experience with Shopee was less than perfect.

As we would like to look into your feedback further, kindly fill up this form (http://help.shopee.sg/sg/s/contactus) so we may get in touch with you. We hope you will give us another chance to earn that 5 stars from you.",2022-12-14 20:15:58,most_relevant,com.shopee.sg,1
Samuel Lim,"Lousy app. Hard to get hold of any customer service via live chat, call or email. Took half an hour to get hold of someone on the line. Even after talking to the customer service officer, the problem is still not resolved. I tried to withdraw from shopee pay but they don't allow me and my money is now locked up! Please think twice about using shopeepay!",1,4,2022-11-21 14:51:39,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-11-19 10:19:43,most_relevant,com.shopee.sg,1
Goh Steven,Good app with great shopping experience back then. Now the shipping charges getting more expensive. It was a dollar plus but now it is more than ten dollars. Shopee took away my coins that I had.,1,2,2022-12-22 12:11:40,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.",2022-12-22 13:25:54,most_relevant,com.shopee.sg,1
Yong Connells,"Disappointed platform, ordered 3 item, 1st item only received one plastic bag, item inside being stolen. 2nd item being damaged. 3nd item when missing. For missing parcel, you can only wait for status update passively, when I tried to reach customer service, what you get is keep repeated useless answer and you will never get a live agent even there is a live agent option.",1,2,2022-10-31 19:20:36,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-10-31 22:55:21,most_relevant,com.shopee.sg,1
Qiaoster,"I topped up my ShopeePay account via PayNow and the amount is still not reflected after 2 days. All their self-help methods do not work. My money literally just disappeared. The application frequently stalls and keeps auto-resetting itself to the home page when I'm using the app as well. Also dislike the way Shopee handles vouchers - even if you have claimed them, they could still be used by someone else who also claimed the same voucher. Really defeats the purpose of collecting vouchers.",1,3,2022-11-12 12:54:50,"Thank you for your review. We are sorry to hear that your experience with Shopee was less than perfect.

At Shopee, we aim to provide you with the best buying and selling experience. We hope you will give us another chance to earn that 5 stars from you.

",2022-11-12 13:27:06,most_relevant,com.shopee.sg,1
